Spec,Spec Code,Vendor,Number UP,1000,1500,2500,5000,7500,10000,15000,25000,50000,75000,100000,200000,300000,500000,750000,1000000
S013912,"""SD_XB1_DLC_4/4_132X120_EX""",Colorman,6,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Litho,Litho,Litho,Litho,Litho
S013912,"""SD_XB1_DLC_5/4_132X120_EXQ""",Colorman,6,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Litho,Litho,Litho,Litho,Litho
S013969,"""SD_XB1_DLC_4/4_155X120_EQR""",Colorman,4,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Litho,Litho,Litho,Litho,Litho
S013915,"""SD_XB1_DLC_4/4_165X130_EXQ""",Colorman,4,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Litho,Litho,Litho,Litho,Litho
S013566,"""SD_XB1_DLC_4/4_132X120_EXP""",Colorman,6,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Litho,Litho,Litho,Litho,Litho
S013567,"""SD_XB1_DLC_4/4_132X120_EX3""",Colorman,6,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Litho,Litho,Litho,Litho,Litho
S013568,"""SD_XB1_DLC_4/4_165X130_W/S""",Colorman,6,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Litho,Litho,Litho,Litho,Litho,Litho,Litho,Litho
S013569,"""SD_XB1_DLC_4/4_165X130_EXC""",Colorman,6,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Litho,Litho,Litho,Litho,Litho,Litho,Litho,Litho
S014678,"""SD_XB1_DLC_4/4_165X130_EXC""",Colorman,4,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Litho,Litho,Litho,Litho,Litho,Litho,Litho,Litho
S013828,"""SD_XB1_DLC_4/4_165X130_EXC""",Colorman,4,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Litho,Litho,Litho,Litho,Litho,Litho,Litho,Litho
